眼鏡,めがね
酷い,ひどい
屹度,きっと
筈,はず
暫く,しばらく
確り,しっかり
新,しん
為さる,なさる
角,かく
込む,こむ
それ程,それほど
偶に,たまに
無知,むち
些とも,ちっとも
崖,がけ
嫉妬,しっと
混同,こんどう
成るべく,なるべく
顎,あご
苛める,いじめる
藁,わら
蕾,つぼみ
無口,むくち
蜂蜜,はちみつ
夕焼け,ゆうやけ
杖,つえ
語彙,ごい
麻痺,まひ
現像,げんぞう
片思い,かたおもい
逆立ち,さかだち
直感,ちょっかん
満月,まんげつ
班,はん
貝殻,かいがら
元素,げんそ
名札,なふだ
裸足,はだし
畜生,ちくしょう
滴,しずく
模倣,もほう
近視,きんし
器官,きかん
海流,かいりゅう
略語,りゃくご
助詞,じょし
暗示,あんじ
炬燵,こたつ
降水,こうすい
地方,ちほう
壺,つぼ
時刻表,じこくひょう
刺繍,ししゅう
香辛料,こうしんりょう
何も,なにも
他人,たにん
賛成,さんせい
現れる,あらわれる
出会う,であう
辺り,あたり
素敵,すてき
一言,ひとこと
乗客,じょうきゃく
恐らく,おそらく
傷,きず
従って,したがって
現場,げんば
働き,はたらき
姉妹,しまい
可哀想,かわいそう
度々,たびたび
見舞い,みまい
女子,じょし
審判,しんぱん
幕,まく
係,かかり
誠に,まことに
現れ,あらわれ
仕舞う,しまう
可也,かなり
凡ゆる,あらゆる
丸で,まるで
如何しても,どうしても
喋る,しゃべる
何時でも,いつでも
例え,たとえ
益々,ますます
済みません,すみません
或る,ある
正に,まさに
お喋り,おしゃべり
所謂,いわゆる
宜しく,よろしく
軈て,やがて
詰まり,つまり
兎に角,とにかく
苛々,いらいら
其のまま,そのまま
悪戯,いたずら
堪らない,たまらない
態と,わざと
何時までも,いつまでも
若しも,もしも
凡そ,およそ
不図,ふと
即ち,すなわち
可愛らしい,かわいらしい
我儘,わがまま
その内,そのうち
頻りに,しきりに
稍,やや
唸る,うなる
頂きます,いただきます
仕舞った,しまった
箪笥,たんす
これ等,これら
上手い,うまい
自転,じてん
葦,あし
風車,ふうしゃ
手芸,しゅげい
絶版,ぜっぱん
年鑑,ねんかん
浮力,ふりょく
暗算,あんざん
聴診器,ちょうしんき
映写,えいしゃ
けど,けど
間もなく,まもなく
耐える,たえる
上司,じょうし
少なくとも,すくなくとも
押さえる,おさえる
知り合い,しりあい
相変わらず,あいかわらず
率直,そっちょく
殴る,なぐる
慌てる,あわてる
何とも,なんとも
当たり前,あたりまえ
手元,てもと
話し合い,はなしあい
一切,いっさい
締め切り,しめきり
不当,ふとう
一定,いってい
重役,じゅうやく
箇所,かしょ
寒気,さむけ
果たして,はたして
割引,わりびき
開拓,かいたく
気配,けはい
一々,いちいち
売れ行き,うれゆき
受取り,うけとり
受取り,うけとり
対立,たいりつ
田園,でんえん
近々,ちかぢか
家主,やぬし
鉱山,こうざん
何しろ,なにしろ
振興,しんこう
物置,ものおき
万能,ばんのう
無線,むせん
円満,えんまん
出入り口,でいりぐち
市街,しがい
付属,ふぞく
消耗,しょうもう
騙す,だます
付き合う,つきあう
当てはまる,あてはまる
浮かぶ,うかぶ
矢っ張り,やっぱり
引き受ける,ひきうける
その上,そのうえ
捉える,とらえる
替わる,かわる
零れる,こぼれる
溢れる,あふれる
零す,こぼす
酸っぱい,すっぱい
寄越す,よこす
躊躇う,ためらう
惨め,みじめ
遡る,さかのぼる
是非とも,ぜひとも
独りでに,ひとりでに
大人しい,おとなしい
喧しい,やかましい
忽ち,たちまち
兎も角,ともかく
剃る,そる
尻尾,しっぽ
怒鳴る,どなる
遠方,えんぽう
可愛がる,かわいがる
躓く,つまずく
済まない,すまない
傾く,かたむく
図々しい,ずうずうしい
爽やか,さわやか
嵌める,はめる
返る,かえる
目茶苦茶,めちゃくちゃ
行き成り,いきなり
背負う,せおう
下らない,くだらない
お早う,おはよう
勿体ない,もったいない
呉れ呉れも,くれぐれも
痒い,かゆい
花壇,かだん
いつの間にか,いつのまにか
ご無沙汰,ごぶさた
打ち合わせ,うちあわせ
何となく,なんとなく
目眩,めまい
お休み,おやすみ
愈,いよいよ
出鱈目,でたらめ
若しかしたら,もしかしたら
お洒落,おしゃれ
巫山戯る,ふざける
当てはめる,あてはめる
見っとも無い,みっともない
眩しい,まぶしい
所々,ところどころ
剥がす,はがす
拵える,こしらえる
大雑把,おおざっぱ
瞼,まぶた
吊るす,つるす
目出度い,めでたい
お八つ,おやつ
萎む,しぼむ
諄い,くどい
十字路,じゅうじろ
跨ぐ,またぐ
慌ただしい,あわただしい
組み合わせ,くみあわせ
若しかすると,もしかすると
偏る,かたよる
俄,にわか
馬鹿らしい,ばからしい
坊ちゃん,ぼっちゃん
饂飩,うどん
書き取り,かきとり
倣う,ならう
団扇,うちわ
吃逆,しゃっくり
ご苦労様,ごくろうさま
畏まりました,かしこまりました
坊ちゃん,ぼっちゃん
お願いします,おねがいします
沁み沁み,しみじみ
やむを得ない,やむをえない
お先に,おさきに
じゃん拳,じゃんけん
木綿,もめん
丈,たけ
何と,なんと
俺,おれ
助け,たすけ
真実,しんじつ
傍ら,かたわら
同意,どうい
事業,じぎょう
勤勉,きんべん
確信,かくしん
本の,ほんの
行為,こうい
興奮,こうふん
非難,ひなん
受け入れる,うけいれる
貧乏,びんぼう
兵士,へいし
賢明,けんめい
犠牲,ぎせい
過ぎ,すぎ
申し出,もうしで
支持,しじ
見込み,みこみ
立ち寄る,たちよる
勝る,まさる
匹,ひき
直面,ちょくめん
当て,あて
癌,がん
廃止,はいし
余地,よち
一部,いちぶ
発言,はつげん
上昇,じょうしょう
告げる,つげる
従業員,じゅうぎょういん
襲う,おそう
何より,なにより
達成,たっせい
言い訳,いいわけ
誠実,せいじつ
侮辱,ぶじょく
負う,おう
資金,しきん
対処,たいしょ
指摘,してき
曲,きょく
保つ,たもつ
従事,じゅうじ
昇進,しょうしん
素早い,すばやい
提供,ていきょう
退職,たいしょく
提供,ていきょう
拒否,きょひ
浪費,ろうひ
討論,とうろん
驚き,おどろき
抗議,こうぎ
詳細,しょうさい
真相,しんそう
広まる,ひろまる
負傷,ふしょう
本気,ほんき
日々,ひび
指示,しじ
沈黙,ちんもく
及ぶ,およぶ
誘惑,ゆうわく
採用,さいよう
部下,ぶか
忠実,ちゅうじつ
設立,せつりつ
一面,いちめん
尚,なお
成り立つ,なりたつ
事柄,ことがら
満たす,みたす
扱い,あつかい
過ち,あやまち
控える,ひかえる
損失,そんしつ
辞職,じしょく
実,じつ
逃れる,のがれる
時折,ときおり
赤字,あかじ
開発,かいはつ
緊急,きんきゅう
行い,おこない
出世,しゅっせ
購入,こうにゅう
