周り,まわり
髪,かみ
行う,おこなう
代わり,かわり
見つかる,みつかる
打つ,うつ
増える,ふえる
厳しい,きびしい
迎える,むかえる
怖い,こわい
紹介,しょうかい
社長,しゃちょう
集める,あつめる
事務所,じむしょ
星,ほし
特に,とくに
集まる,あつまる
比べる,くらべる
無理,むり
用意,ようい
落とす,おとす
壊れる,こわれる
具合,ぐあい
倒れる,たおれる
味,あじ
安全,あんぜん
変,へん
祖母,そぼ
連絡,れんらく
大事,だいじ
下がる,さがる
壊す,こわす
決まる,きまる
確か,たしか
楽しみ,たのしみ
汽車,きしゃ
可笑しい,おかしい
隅,すみ
競争,きょうそう
入院,にゅういん
形,かたち
仕方,しかた
景色,けしき
留守,るす
首,くび
君,きみ
以内,いない
血,ち
例えば,たとえば
別れる,わかれる
棚,たな
複雑,ふくざつ
引っ越す,ひっこす
申し上げる,もうしあげる
品物,しなもの
技術,ぎじゅつ
ご存知,ごぞんじ
草,くさ
以下,いか
倍,ばい
両方,りょうほう
安心,あんしん
港,みなと
大体,だいたい
線,せん
下げる,さげる
虫,むし
小鳥,ことり
高校生,こうこうせい
乗り換える,のりかえる
枝,えだ
寺,てら
着物,きもの
店員,てんいん
帰り,かえり
終わり,おわり
通う,かよう
柔らかい,やわらかい
騒ぐ,さわぐ
丁寧,ていねい
踏む,ふむ
真ん中,まんなか
裏,うら
冷える,ひえる
飾る,かざる
表,おもて
遠慮,えんりょ
都合,つごう
暮れる,くれる
昼間,ひるま
部長,ぶちょう
久しぶり,ひさしぶり
引き出し,ひきだし
急,きゅう
会場,かいじょう
急行,きゅうこう
又は,または
地理,ちり
電灯,でんとう
踊り,おどり
適当,てきとう
細かい,こまかい
課長,かちょう
盛ん,さかん
割合,わりあい
暖房,だんぼう
引き出す,ひきだす
申す,もうす
退院,たいいん
売り場,うりば
食料品,しょくりょうひん
新聞社,しんぶんしゃ
受付,うけつけ
苦い,にがい
講堂,こうどう
下宿,げしゅく
不便,ふべん
写す,うつす
湯,ゆ
工業,こうぎょう
屋上,おくじょう
下着,したぎ
冷房,れいぼう
畳,たたみ
お嬢さん,おじょうさん
沸かす,わかす
特急,とっきゅう
漬ける,つける
呉れる,くれる
過ぎる,すぎる
積もり,つもり
殆ど,ほとんど
止める,とめる
酷い,ひどい
遅れる,おくれる
続ける,つづける
手伝う,てつだう
見つける,みつける
驚く,おどろく
開く,ひらく
眠る,ねむる
勝つ,かつ
聞こえる,きこえる
尋ねる,たずねる
慣れる,なれる
泣く,なく
屹度,きっと
似る,にる
戻る,もどる
調べる,しらべる
伝える,つたえる
筈,はず
無くなる,なくなる
動く,うごく
知らせる,しらせる
続く,つづく
別,べつ
鳴る,なる
市,し
負ける,まける
悲しい,かなしい
亡くなる,なくなる
以外,いがい
直す,なおす
暫く,しばらく
間違える,まちがえる
回る,まわる
確り,しっかり
捨てる,すてる
育てる,そだてる
褒める,ほめる
石,いし
恥ずかしい,はずかしい
塗る,ぬる
泊まる,とまる
片付ける,かたづける
止む,やむ
遠く,とおく
済む,すむ
到頭,とうとう
捕まえる,つかまえる
踊る,おどる
足りる,たりる
治る,なおる
為さる,なさる
硬い,かたい
建てる,たてる
凄い,すごい
謝る,あやまる
此れから,これから
立てる,たてる
寂しい,さびしい
濡れる,ぬれる
投げる,なげる
太る,ふとる
寄る,よる
歯医者,はいしゃ
召し上がる,めしあがる
参る,まいる
珍しい,めずらしい
揺れる,ゆれる
祈る,いのる
込む,こむ
折る,おる
大学生,だいがくせい
お礼,おれい
眠い,ねむい
それ程,それほど
偶に,たまに
痩せる,やせる
噛む,かむ
億,おく
触る,さわる
掏摸,すり
焼く,やく
なる程,なるほど
拾う,ひろう
割れる,われる
滑る,すべる
些とも,ちっとも
お宅,おたく
折れる,おれる
移る,うつる
植える,うえる
光る,ひかる
字,じ
差し上げる,さしあげる
焼ける,やける
取り替える,とりかえる
釣る,つる
乾く,かわく
用事,ようじ
成るべく,なるべく
浅い,あさい
苛める,いじめる
届ける,とどける
拝見,はいけん
お土産,おみやげ
床屋,とこや
足す,たす
お釣り,おつり
予習,よしゅう
寝坊,ねぼう
沸く,わく
忘れ物,わすれもの
復習,ふくしゅう
ご主人,ごしゅじん
再来月,さらいげつ
再来週,さらいしゅう
付く,つく
変える,かえる
斯う,こう
看護師,かんごし
降り出す,ふりだす
けど,けど
日,ひ
大分,だいぶ
間,あいだ
親,おや
熱,ねつ
運転手,うんてんしゅ
木綿,もめん
あっ,あっ
開く,あく
一杯,いっぱい
用,よう
内,うち
訳,わけ
お陰,おかげ
もう直ぐ,もうすぐ
君,くん
包む,つつむ
毛,け
泳ぎ方,およぎかた
都,と
家内,かない
お見舞い,おみまい
そう,そう
そんな,そんな
若し,もし
止める,やめる
非常に,ひじょうに
だから,だから
はっきり,はっきり
すっかり,すっかり
漸と,やっと
あんな,あんな
そろそろ,そろそろ
米,こめ
いらっしゃる,いらっしゃる
其れで,それで
どんどん,どんどん
ちゃん,ちゃん
汚れる,よごれる
ご馳走,ごちそう
この頃,このごろ
すると,すると
先,さっき
其れに,それに
この間,このあいだ
すっと,すっと
そんなに,そんなに
仰る,おっしゃる
うん,うん
ああ,ああ
ご覧になる,ごらんになる
妻,つま
気持ち,きもち
答え,こたえ
昼休み,ひるやすみ
二階建て,にかいだて
お祝い,おいわい
お出でになる,おいでになる
お祭り,おまつり
端,つま
